Flight Number,Origin of Flight,Origin Time,Arrival Time,Airlines
G8 - 714,Ahmedabad,22:20,00:05,GoAir
SG - 6710,Mumbai,21:40,00:05,SpiceJet
6E - 564,Hyderabad,21:40,00:05,IndiGo
G8 - 144,Patna,22:10,00:05,GoAir
6E - 24,Dubai,19:00,00:05,IndiGo
6E - 447,Lucknow,22:40,00:05,IndiGo
I5* - 786,Guwahati,21:20,00:10,AirAsia India
6E - 224,Kolkata,21:45,00:10,IndiGo
AI - 335,Bangkok,21:05,00:10,Air India
AI - 854,Pune,21:55,00:10,Air India
BA - 5854,Mumbai,21:55,00:15,British Airways
SQ - 4766,Mumbai,21:55,00:15,Singapore Airlines
UK* - 950,Mumbai,21:55,00:15,Vistara
6E - 2305,Bengaluru,21:25,00:15,IndiGo
6E - 2405,Bhubaneswar,21:50,00:20,IndiGo
TG - 335,Bangkok,21:25,00:25,Thai Airways International
KU - 381,Kuwait,17:55,00:35,Kuwait Airways
6E - 2895,Amritsar,23:20,00:35,IndiGo
TK - 4656,Amritsar,23:20,00:35,Turkish Airlines
6E - 336,Goa,22:00,00:40,IndiGo
BZ* - 201,Kolkata,22:25,00:45,Blue Dart Aviation
SG - 8720,Bengaluru,22:00,00:45,SpiceJet
6E - 198,Mumbai,22:25,00:45,IndiGo
UK* - 986,Mumbai,22:40,00:50,Vistara
UA - 8906,Frankfurt,13:40,00:55,United Airlines
LH - 760,Frankfurt,13:40,00:55,Lufthansa
AI - 7568,Addis Ababa,15:45,00:55,Air India
AC - 9352,Frankfurt,13:40,00:55,Air Canada
AI - 8760,Frankfurt,13:40,00:55,Air India
ET - 688,Addis Ababa,15:45,00:55,Ethiopian Airlines
I5* - 755,Hyderabad,22:50,01:00,AirAsia India
6E - 114,Lucknow,23:45,01:05,IndiGo
G8 - 345,Mumbai,22:55,01:10,GoAir
I5* - 547,Kolkata,22:40,01:10,AirAsia India
6E - 2289,Bengaluru,22:20,01:10,IndiGo
TK - 4678,Bengaluru,22:20,01:10,Turkish Airlines
G8 - 426,Hyderabad,23:00,01:15,GoAir
XW* - 306,Bangkok,22:40,01:15,NokScoot Airlines
6E - 766,Hyderabad,23:05,01:20,IndiGo
TK - 4665,Hyderabad,23:05,01:20,Turkish Airlines
